,sentiment
SPY,0.49649208784103394
DIA,0.49858129024505615
QQQ,0.49374479055404663
IWM,0.4979173541069031
^FCHI,0.48400649428367615
^GDAXI,0.4901979863643646
^FTSE,0.48676565289497375
^N225,0.49049249291419983
^STOXX50E,0.5
^HSI,0.48897865414619446
VNQ,0.5002672672271729
SCHH,0.4950057864189148
IYR,0.4989539086818695
GLD,0.49556270241737366
SLV,0.5067739486694336
USO,0.500145673751831
UNG,0.49667733907699585
DBA,0.5
PALL,0.4907636344432831
CPER,0.4974614381790161
BTC-USD,0.5
ETH-USD,0.5
TLT,0.5005301237106323
IEF,0.5029172897338867
SHY,0.5
